site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech1  51  1  1  1  Devalued  pre  1-day  4.590496e+00  2.194238e-01  4  90  5  9
Caltech1  51  1  1  2  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  3  Valued  pre  1-day  2.845247e+00  2.806590e-01  5  57  3  9
Caltech1  51  1  1  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  5  Devalued  pre  1-day  4.495652e+00  2.034570e-01  2  90  5  9
Caltech1  51  1  1  6  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  7  Valued  pre  1-day  4.531132e+00  1.484266e-01  2  182  3  9
Caltech1  51  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  9  Valued  pre  1-day  3.996159e+00  1.436216e-01  1  80  3  9
Caltech1  51  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  11  Devalued  pre  1-day  5.221949e+00  1.395820e-01  2  209  5  9
Caltech1  51  1  1  12  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  13  Devalued  pre  1-day  4.789048e+00  2.208147e-01  4  96  5  9
Caltech1  51  1  1  14  Valued  pre  1-day  4.030892e+00  1.597928e-01  2  81  3  9
Caltech1  51  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  1  16  Devalued  pre  1-day  5.482767e+00  1.203146e-01  2  220  5  9
Caltech1  51  1  1  17  Valued  pre  1-day  4.222420e+00  4.984179e-02  0  84  3  9
Caltech1  51  1  1  18  Devalued  pre  1-day  5.508800e+00  9.759572e-02  1  110  5  9
Caltech1  51  1  1  19  Valued  pre  1-day  3.660678e+00  1.313724e-01  3  147  3  9
Caltech1  51  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  1  Valued  pre  1-day  5.367754e+00  1.470873e-01  0  106  3  9
Caltech1  51  1  2  2  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  3  Devalued  pre  1-day  5.289067e+00  1.526627e-01  2  106  5  9
Caltech1  51  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  5  Devalued  pre  1-day  5.112499e+00  1.556206e-01  6  205  5  9
Caltech1  51  1  2  6  Valued  pre  1-day  4.315200e+00  1.695342e-01  2  86  3  9
Caltech1  51  1  2  7  Devalued  pre  1-day  5.378743e+00  1.073928e-01  1  107  5  9
Caltech1  51  1  2  8  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  9  Devalued  pre  1-day  4.139300e+00  6.767733e-01  5  166  5  9
Caltech1  51  1  2  10  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  11  Valued  pre  1-day  5.463959e+00  8.348367e-02  0  219  3  9
Caltech1  51  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  13  Valued  pre  1-day  4.433492e+00  2.165862e-01  3  90  3  9
Caltech1  51  1  2  14  Devalued  pre  1-day  4.949799e+00  1.406615e-01  2  98  5  9
Caltech1  51  1  2  15  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  16  Devalued  pre  1-day  4.949520e+00  1.869375e-01  4  100  5  9
Caltech1  51  1  2  17  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  18  Valued  pre  1-day  5.135619e+00  1.242526e-01  2  206  3  9
Caltech1  51  1  2  19  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  51  1  2  20  Valued  pre  1-day  4.547144e+00  1.769510e-01  3  92  3  9
Caltech1  51  1  3  1  Devalued  post  1-day  5.267725e+00  1.209737e-01  0  107  3  4
Caltech1  51  1  3  2  Rest  post  1-day  0  0  0  0  NaN  4
Caltech1  51  1  3  3  Valued  post  1-day  5.527098e+00  1.027669e-01  0  111  2  4
Caltech1  51  1  3  4  Devalued  post  1-day  5.445532e+00  5.053781e-02  0  112  3  4
Caltech1  51  1  3  5  Valued  post  1-day  5.627826e+00  5.166344e-02  0  115  2  4
Caltech1  51  1  3  6  Devalued  post  1-day  5.334442e+00  5.134793e-02  0  108  3  4
Caltech1  51  1  3  7  Rest  post  1-day  0  0  0  0  NaN  4
Caltech1  51  1  3  8  Valued  post  1-day  6.034514e+00  5.976053e-02  0  122  2  4
Caltech1  51  1  3  9  Rest  post  1-day  0  0  0  0  NaN  4
Caltech1  52  1  1  1  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  2  Valued  pre  1-day  4.503729e+00  1.714182e-01  3  91  5  10
Caltech1  52  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  4  Valued  pre  1-day  4.171794e+00  2.020484e-01  2  167  5  10
Caltech1  52  1  1  5  Devalued  pre  1-day  3.836949e+00  1.081349e-01  0  77  5  10
Caltech1  52  1  1  6  Valued  pre  1-day  3.859719e+00  6.448715e-02  0  77  5  10
Caltech1  52  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  8  Valued  pre  1-day  4.609693e+00  1.155106e-01  1  93  5  10
Caltech1  52  1  1  9  Devalued  pre  1-day  4.057902e+00  6.639514e-02  0  81  5  10
Caltech1  52  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  11  Devalued  pre  1-day  3.922764e+00  1.348246e-01  3  157  5  10
Caltech1  52  1  1  12  Valued  pre  1-day  3.268415e+00  1.330174e-01  3  131  5  10
Caltech1  52  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  14  Devalued  pre  1-day  3.988820e+00  1.600862e-01  2  80  5  10
Caltech1  52  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  10
Caltech1  52  1  1  16  Devalued  pre  1-day  4.133767e+00  1.458250e-01  2  83  5  10
Caltech1  52  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  10
