site	ID 	Group	FoodConsumption_grams	FoodLabel
Caltech1	51	1-day	69	    Cashews          
Caltech1	52	1-day	23	    Cashews          
Caltech1	53	1-day	11	    Goldfish_crackers
Caltech1	54	1-day	5	    Cashews          
Caltech1	55	1-day	63	    Cheez-it_crackers
Caltech1	56	1-day	60	    Cashews          
Caltech1	57	1-day	10	    Cheez-it_crackers
Caltech1	58	1-day	41	    Cashews          
Caltech1	59	1-day	65	    Cashews          
Caltech1	60	1-day	34	    Cashews          
Caltech1	61	1-day	8	    Cheez-it_crackers
Caltech1	62	1-day	25	    Cashews          
Caltech1	63	1-day	176	    Cheez-it_crackers
Caltech1	64	1-day	30	    Goldfish_crackers
Caltech1	65	1-day	30	    Cheez-it_crackers
Caltech1	66	1-day	81	    Cheez-it_crackers
Caltech1	67	1-day	61	    Cheez-it_crackers
Caltech1	68	1-day	55	    Goldfish_crackers
Caltech1	69	1-day	31	    Cheez-it_crackers
Caltech1	70	1-day	59	    Cashews          
Caltech1	71	1-day	23	    Goldfish_crackers
Caltech1	72	1-day	40	    Cashews          
Caltech1	73	1-day	29	    Cashews          
Caltech1	74	1-day	36	    Cashews          
Caltech1	75	1-day	100	    Cashews          
Caltech1	76	1-day	36	    Goldfish_crackers
Caltech1	77	1-day	25	    Goldfish_crackers
Caltech1	78	1-day	39	    Cashews          
Caltech1	79	1-day	25	    Goldfish_crackers
Caltech1	80	1-day	18	    Cheez-it_crackers
Caltech1	81	1-day	15	    Cheez-it_crackers
Caltech1	82	3-day	10	    Cheez-it         
Caltech1	83	3-day	43	    Goldfish_crackers
Caltech1	84	3-day	60	    Cashews          
Caltech1	85	3-day	123	    Cashews          
Caltech1	86	3-day	120	    Cashews          
Caltech1	87	3-day	31	    Cheez-it_crackers
Caltech1	88	3-day	42	    Cashews          
Caltech1	89	3-day	56	    Goldfish_crackers
Caltech1	90	3-day	68	    Goldfish_crackers
Caltech1	91	3-day	29	    Cashews          
Caltech1	92	3-day	115	    Cashews          
Caltech1	93	3-day	107	    Goldfish_crackers
Caltech1	94	3-day	34	    Cashews          
Caltech1	95	3-day	32	    Cheez-it_crackers
Caltech1	96	3-day	71	    Goldfish_crackers
Caltech1	97	3-day	74	    Goldfish_crackers
Caltech1	98	3-day	56	    Goldfish_crackers
Caltech1	99	3-day	7	    Goldfish_crackers
Caltech1	100	3-day	61	    Goldfish_crackers
Caltech1	101	3-day	28	    Cheez-it_crackers
Caltech1	102	3-day	44	    Cheez-it_crackers
Caltech1	103	3-day	58	    Goldfish_crackers
Caltech1	104	3-day	128	    Cashews          
Caltech1	105	3-day	26	    Goldfish_crackers
Caltech1	106	3-day	41	    Cashews          
Caltech1	107	3-day	28	    Cashews          
Caltech1	108	3-day	22	    Cashews          
Caltech1	109	3-day	69	    Goldfish_crackers
Caltech1	110	3-day	35	    Cheez-it_crackers
Caltech1	111	3-day	49	    Cashews          
Caltech1	112	3-day	43	    Cheez-it_crackers
