site	ID	Group	FoodConsumption_grams	FoodLabel
Caltech2	101	1-day	11	    Goldfish_crackers
Caltech2	102	1-day	63	    Goldfish_crackers
Caltech2	103	1-day	26	    Cheez-it_crackers
Caltech2	104	1-day	35	    Cheez-it_crackers
Caltech2	105	1-day	39	    Cheez-it_crackers
Caltech2	106	1-day	50	    Cheez-it_crackers
Caltech2	107	1-day	17	    Cheez-it_crackers
Caltech2	109	1-day	55	    Cashews          
Caltech2	110	1-day	24	    Cashews          
Caltech2	113	1-day	30	    Cheez-it_crackers
Caltech2	114	1-day	36	    Cashews          
Caltech2	115	1-day	3	    Cashews          
Caltech2	116	1-day	62	    Cashews          
Caltech2	117	1-day	45	    Cashews          
Caltech2	120	1-day	45	    Goldfish_crackers
Caltech2	121	1-day	68	    Cashews          
Caltech2	122	1-day	5	    Cheez-it_crackers
Caltech2	123	1-day	97	    Cheez-it_crackers
Caltech2	124	1-day	30	    Cashews          
Caltech2	125	1-day	42	    Cashews          
Caltech2	126	1-day	11	    Cashews          
Caltech2	130	1-day	59	    Cheez-it_crackers
Caltech2	131	1-day	95	    Cashews          
Caltech2	132	1-day	1	    Cashews          
Caltech2	133	1-day	34	    Goldfish_crackers
Caltech2	134	1-day	50	    Cheez-it_crackers
Caltech2	135	1-day	42	    Cashews          
Caltech2	136	1-day	42	    Cashews          
Caltech2	137	1-day	87	    Cashews          
Caltech2	138	1-day	40	    Cashews          
Caltech2	301	3-day	35	    Cheez-it_crackers
Caltech2	303	3-day	45	    Cheez-it_crackers
Caltech2	304	3-day	35	    Cheez-it_crackers
Caltech2	305	3-day	76	    Cashews          
Caltech2	306	3-day	22	    Goldfish_crackers
Caltech2	307	3-day	81	    Cashews          
Caltech2	308	3-day	31	    Goldfish_crackers
Caltech2	309	3-day	16	    Cheez-it_crackers
Caltech2	310	3-day	135	    Cheez-it_crackers
Caltech2	311	3-day	4	    Cashews          
Caltech2	312	3-day	1	    Cheez-it_crackers
Caltech2	313	3-day	1	    Cashews          
Caltech2	314	3-day	11	    Goldfish_crackers
Caltech2	315	3-day	41	    Cashews          
Caltech2	316	3-day	58	    Goldfish_crackers
Caltech2	317	3-day	76	    Cashews          
Caltech2	318	3-day	37	    Cashews          
Caltech2	319	3-day	96	    Cashews          
Caltech2	320	3-day	9	    Cashews          
Caltech2	321	3-day	12	    Cheez-it_crackers
Caltech2	322	3-day	147	    Cheez-it_crackers
Caltech2	325	3-day	64	    Cashews          
Caltech2	326	3-day	10	    Goldfish_crackers
Caltech2	327	3-day	80	    Cashews          
Caltech2	328	3-day	10	    Cashews          
Caltech2	329	3-day	87	    Cashews          
Caltech2	330	3-day	71	    Cashews          
Caltech2	331	3-day	36	    Cheez-it_crackers
Caltech2	332	3-day	38	    Goldfish_crackers
Caltech2	333	3-day	23	    Goldfish_crackers
