"site"	"ID"	"session"	"run"	"trial"	"cue"	"prepost"	"group"	"pressFreq"	"outcomeliking"
"Rutgers"	1	1	1	1	"Valued"	"pre"	"1-day"	3.799998	3
"Rutgers"	1	1	1	2	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	3	"Valued"	"pre"	"1-day"	3.499998	3
"Rutgers"	1	1	1	4	"Devalued"	"pre"	"1-day"	4.65	3
"Rutgers"	1	1	1	5	"Valued"	"pre"	"1-day"	5.700004	3
"Rutgers"	1	1	1	6	"Devalued"	"pre"	"1-day"	3.999997	3
"Rutgers"	1	1	1	7	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	8	"Valued"	"pre"	"1-day"	4.099998	3
"Rutgers"	1	1	1	9	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	10	"Devalued"	"pre"	"1-day"	5.200002	3
"Rutgers"	1	1	1	11	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	12	"Valued"	"pre"	"1-day"	2.449999	3
"Rutgers"	1	1	1	13	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	14	"Devalued"	"pre"	"1-day"	7.750011	3
"Rutgers"	1	1	1	15	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	16	"Valued"	"pre"	"1-day"	3.099998	3
"Rutgers"	1	1	1	17	"Devalued"	"pre"	"1-day"	5.300002	3
"Rutgers"	1	1	1	18	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	1	19	"Devalued"	"pre"	"1-day"	10.30002	3
"Rutgers"	1	1	1	20	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	1	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	2	"Devalued"	"pre"	"1-day"	5.650003	3
"Rutgers"	1	1	2	3	"Valued"	"pre"	"1-day"	3.049998	3
"Rutgers"	1	1	2	4	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	5	"Devalued"	"pre"	"1-day"	5.300002	3
"Rutgers"	1	1	2	6	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	7	"Valued"	"pre"	"1-day"	2.849998	3
"Rutgers"	1	1	2	8	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	9	"Devalued"	"pre"	"1-day"	10.45002	3
"Rutgers"	1	1	2	10	"Valued"	"pre"	"1-day"	5.500003	3
"Rutgers"	1	1	2	11	"Devalued"	"pre"	"1-day"	6.000005	3
"Rutgers"	1	1	2	12	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	13	"Devalued"	"pre"	"1-day"	4.549999	3
"Rutgers"	1	1	2	14	"Valued"	"pre"	"1-day"	3.799998	3
"Rutgers"	1	1	2	15	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	16	"Valued"	"pre"	"1-day"	3.349998	3
"Rutgers"	1	1	2	17	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	18	"Valued"	"pre"	"1-day"	5.350002	3
"Rutgers"	1	1	2	19	"Rest"	"pre"	"1-day"	0	NA
"Rutgers"	1	1	2	20	"Devalued"	"pre"	"1-day"	4.7	3
"Rutgers"	1	1	3	1	"Valued"	"post"	"1-day"	4.099998	3
