site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Hamburg  113  1  1  1  Valued  pre  1-day  2.009621e-01  1.344274e+00  0  4  4  8
Hamburg  113  1  1  2  Devalued  pre  1-day  2.249908e-01  1.091741e+00  0  9  4  8
Hamburg  113  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  4  Valued  pre  1-day  3.491245e-01  1.171027e+00  2  7  4  8
Hamburg  113  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  6  Devalued  pre  1-day  7.472742e-01  1.028153e+00  1  15  4  8
Hamburg  113  1  1  7  Valued  pre  1-day  9.997136e-01  9.608809e-01  0  20  4  8
Hamburg  113  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  9  Devalued  pre  1-day  4.985956e-01  5.163127e-01  1  10  4  8
Hamburg  113  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  11  Devalued  pre  1-day  2.498701e-02  0  1  1  4  8
Hamburg  113  1  1  12  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  13  Valued  pre  1-day  1.746956e-01  6.009817e-01  1  7  4  8
Hamburg  113  1  1  14  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  15  Devalued  pre  1-day  9.990145e-02  6.945817e+00  1  2  4  8
Hamburg  113  1  1  16  Valued  pre  1-day  7.500415e-02  5.993645e+00  1  3  4  8
Hamburg  113  1  1  17  Devalued  pre  1-day  9.977938e-02  1.879336e+00  1  2  4  8
Hamburg  113  1  1  18  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  1  19  Valued  pre  1-day  9.993421e-02  7.743278e+00  1  2  4  8
Hamburg  113  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  113  1  2  1  Valued  pre  1-day  1.256533e-01  2.718405e+00  4  5  4  8
Hamburg  113  1  2  2  Devalued  pre  1-day  1.501246e-01  3.648851e+00  1  3  4  8
Hamburg  113  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  8
