site	ID	Group	FoodConsumption_grams	FoodLabel
Hamburg	113	1-day	10	    Chips   
Hamburg	114	1-day	20	    Chips   
Hamburg	115	1-day	85	    Erdnüsse
Hamburg	116	1-day	33	    TUC     
Hamburg	117	3-day	23	    TUC     
Hamburg	118	1-day	31	    Chips   
Hamburg	119	1-day	59	    TUC     
Hamburg	120	1-day	19	    Chips   
Hamburg	121	1-day	18	    Chips   
Hamburg	122	1-day	82	    TUC     
Hamburg	123	1-day	39	    TUC     
Hamburg	124	3-day	10	    Erdnüsse
Hamburg	125	1-day	85	    Erdnüsse
Hamburg	126	1-day	39	    TUC     
Hamburg	127	1-day	59	    Chips   
Hamburg	128	1-day	90	    Chips   
Hamburg	129	1-day	31	    TUC     
Hamburg	130	1-day	19	    TUC     
Hamburg	131	3-day	19	    TUC     
Hamburg	132	3-day	66	    TUC     
Hamburg	133	1-day	39	    Chips   
Hamburg	134	3-day	19	    TUC     
Hamburg	135	3-day	84	    TUC     
Hamburg	136	3-day	51	    Erdnüsse
Hamburg	137	1-day	107	    Erdnüsse
Hamburg	138	3-day	10	    TUC     
Hamburg	139	3-day	77	    Chips   
Hamburg	140	3-day	20	    Erdnüsse
Hamburg	141	3-day	6	    TUC     
Hamburg	142	1-day	46	    Chips   
Hamburg	143	1-day	62	    Chips   
Hamburg	144	1-day	69	    TUC     
Hamburg	145	3-day	153	    Erdnüsse
Hamburg	146	3-day	25	    Erdnüsse
Hamburg	147	1-day	90	    Erdnüsse
Hamburg	148	1-day	94	    Chips   
Hamburg	149	3-day	184	    TUC     
Hamburg	150	1-day	23	    TUC     
Hamburg	151	1-day	135	    Chips   
Hamburg	152	1-day	63	    Chips   
Hamburg	153	1-day	34	    TUC     
Hamburg	154	3-day	65	    Erdnüsse
Hamburg	155	3-day	105	    Erdnüsse
Hamburg	156	1-day	65	    TUC     
Hamburg	157	1-day	30	    Erdnüsse
Hamburg	158	3-day	118	    Chips   
Hamburg	159	3-day	10	    TUC     
Hamburg	160	3-day	177	    Chips   
Hamburg	161	3-day	57	    Erdnüsse
Hamburg	162	3-day	18	    Erdnüsse
Hamburg	163	3-day	119	    TUC     
Hamburg	164	3-day	42	    TUC     
Hamburg	165	3-day	114	    Erdnüsse
Hamburg	166	3-day	93	    TUC     
Hamburg	167	3-day	147	    Erdnüsse
Hamburg	168	3-day	117	    Erdnüsse
Hamburg	169	3-day	119	    TUC     
Hamburg	170	3-day	30	    TUC     
Hamburg	171	3-day	19	    TUC     
Hamburg	172	3-day	35	    TUC     
Hamburg	173	3-day	9	    Chips   
Hamburg	174	3-day	47	    TUC     
Hamburg	175	3-day	107	    Erdnüsse
Hamburg	176	3-day	106	    Chips   
Hamburg	177	3-day	16	    TUC     
