site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Sydney  238  1  1  1  Valued  pre  1-day  4.055402e+00  8.452849e-02  1  154  3  7
Sydney  238  1  1  2  Devalued  pre  1-day  4.111374e+00  1.362989e-01  2  82  4  7
Sydney  238  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  4  Devalued  pre  1-day  4.197131e+00  1.918339e-01  2  84  4  7
Sydney  238  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  6  Valued  pre  1-day  4.606009e+00  1.296654e-01  2  92  3  7
Sydney  238  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  8  Devalued  pre  1-day  4.518067e+00  5.849856e-02  0  181  4  7
Sydney  238  1  1  9  Valued  pre  1-day  4.514977e+00  1.015501e-01  1  90  3  7
Sydney  238  1  1  10  Devalued  pre  1-day  3.997660e+00  1.534448e-01  4  161  4  7
Sydney  238  1  1  11  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  12  Devalued  pre  1-day  4.584754e+00  1.026212e-01  1  92  4  7
Sydney  238  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  14  Valued  pre  1-day  4.865047e+00  9.655368e-02  1  98  3  7
Sydney  238  1  1  15  Devalued  pre  1-day  4.150716e+00  1.600340e-01  3  84  4  7
Sydney  238  1  1  16  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  17  Valued  pre  1-day  4.212615e+00  1.648477e-01  6  169  3  7
Sydney  238  1  1  18  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  1  19  Valued  pre  1-day  4.204562e+00  1.652842e-01  3  84  3  7
Sydney  238  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  1  Devalued  pre  1-day  4.584131e+00  1.444868e-01  2  92  4  7
Sydney  238  1  2  2  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  3  Valued  pre  1-day  4.914159e+00  1.015546e-01  1  99  3  7
Sydney  238  1  2  4  Devalued  pre  1-day  4.408375e+00  1.012826e-01  1  88  4  7
Sydney  238  1  2  5  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  6  Valued  pre  1-day  4.772031e+00  9.445848e-02  1  96  3  7
Sydney  238  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  8  Devalued  pre  1-day  4.075624e+00  1.771791e-01  3  83  4  7
Sydney  238  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  10  Valued  pre  1-day  4.677470e+00  1.109799e-01  3  187  3  7
Sydney  238  1  2  11  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  12  Valued  pre  1-day  4.739058e+00  1.311076e-01  2  95  3  7
Sydney  238  1  2  13  Devalued  pre  1-day  4.568888e+00  9.337173e-02  2  183  4  7
Sydney  238  1  2  14  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  15  Devalued  pre  1-day  4.377868e+00  1.696629e-01  3  88  4  7
Sydney  238  1  2  16  Valued  pre  1-day  4.358096e+00  1.672819e-01  7  174  3  7
Sydney  238  1  2  17  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  18  Devalued  pre  1-day  4.604206e+00  9.751886e-02  2  184  4  7
Sydney  238  1  2  19  Rest  pre  1-day  0  0  0  0  NaN  7
Sydney  238  1  2  20  Valued  pre  1-day  4.223695e+00  1.641090e-01  3  85  3  7
Sydney  238  1  3  1  Valued  post  1-day  4.671618e+00  5.690525e-02  0  94  -3  4
Sydney  238  1  3  2  Devalued  post  1-day  4.512713e+00  5.962339e-02  0  92  -1  4
Sydney  238  1  3  3  Rest  post  1-day  0  0  0  0  NaN  4
Sydney  238  1  3  4  Devalued  post  1-day  4.948340e+00  6.008463e-02  0  99  -1  4
Sydney  238  1  3  5  Valued  post  1-day  4.969390e+00  3.352798e-02  0  100  -3  4
Sydney  238  1  3  6  Rest  post  1-day  0  0  0  0  NaN  4
Sydney  238  1  3  7  Valued  post  1-day  5.133465e+00  3.680547e-02  0  103  -3  4
Sydney  238  1  3  8  Devalued  post  1-day  4.865233e+00  4.069746e-02  0  98  -1  4
Sydney  238  1  3  9  Rest  post  1-day  0  0  0  0  NaN  4
Sydney  239  1  1  1  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  2  Valued  pre  1-day  1.538349e+00  3.399422e-01  3  31  5  8
Sydney  239  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  4  Devalued  pre  1-day  1.198892e+00  3.516594e-01  2  24  5  8
Sydney  239  1  1  5  Valued  pre  1-day  1.525192e+00  3.436348e-01  2  31  5  8
Sydney  239  1  1  6  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  7  Valued  pre  1-day  1.844041e+00  3.265181e-01  1  37  5  8
Sydney  239  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  9  Valued  pre  1-day  1.847026e+00  3.523911e-01  5  74  5  8
Sydney  239  1  1  10  Devalued  pre  1-day  2.249048e+00  2.646629e-01  3  90  5  8
Sydney  239  1  1  11  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  12  Devalued  pre  1-day  2.753018e+00  1.948638e-01  1  55  5  8
Sydney  239  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  14  Valued  pre  1-day  1.800467e+00  3.121866e-01  2  36  5  8
Sydney  239  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  16  Devalued  pre  1-day  3.240130e+00  1.634348e-01  1  65  5  8
Sydney  239  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  8
Sydney  239  1  1  18  Devalued  pre  1-day  2.779727e+00  1.437045e-01  0  56  5  8
Sydney  239  1  1  19  Valued  pre  1-day  1.279329e+00  5.036380e-01  3  51  5  8
