site	ID	Group	FoodConsumption_grams	FoodLabel
Sydney	238	1-day	72	    Cashews
Sydney	239	1-day	9	    Chips  
Sydney	240	1-day	38	    Doritos
Sydney	241	1-day	117	    Chips  
Sydney	242	1-day	54	    Chips  
Sydney	243	1-day	55	    Cashews
Sydney	244	1-day	22	    Doritos
Sydney	245	1-day	91	    Cashews
Sydney	246	1-day	13	    Cashews
Sydney	247	1-day	12	    Doritos
Sydney	248	1-day	7	    Chips  
Sydney	249	1-day	28	    Cashews
Sydney	250	1-day	48	    Doritos
Sydney	251	1-day	35	    Doritos
Sydney	252	1-day	NA	    Chips  
Sydney	253	1-day	NA	    Cashews
Sydney	254	1-day	NA	    Chips  
Sydney	255	1-day	51	    Chips  
Sydney	256	1-day	36	    Cashews
Sydney	257	1-day	24	    Doritos
Sydney	258	1-day	35	    Doritos
Sydney	259	1-day	49	    Chips  
Sydney	260	1-day	56	    Chips  
Sydney	261	1-day	21	    Cashews
Sydney	262	1-day	77	    Chips  
Sydney	263	1-day	29	    Cashews
Sydney	264	1-day	8	    Cashews
Sydney	265	1-day	19	    Cashews
Sydney	266	1-day	10	    Cashews
Sydney	267	1-day	11	    Cashews
Sydney	268	3-day	33	    Chips  
Sydney	269	3-day	55	    Cashews
Sydney	270	3-day	83	    Chips  
Sydney	271	3-day	40	    Chips  
Sydney	272	3-day	60	    Cashews
Sydney	273	3-day	75	    Cashews
Sydney	274	3-day	66	    Cashews
Sydney	275	3-day	60	    Chips  
Sydney	276	3-day	32	    Chips  
Sydney	277	3-day	57	    Cashews
Sydney	278	3-day	26	    Doritos
Sydney	279	3-day	36	    Chips  
Sydney	280	3-day	53	    Chips  
Sydney	281	3-day	18	    Cashews
Sydney	282	3-day	23	    Cashews
Sydney	283	3-day	160	    Doritos
Sydney	284	3-day	63	    Cashews
Sydney	285	3-day	82	    Cashews
Sydney	286	3-day	172	    Cashews
Sydney	287	3-day	44	    Cashews
Sydney	288	3-day	31	    Doritos
Sydney	289	3-day	86	    Chips  
Sydney	290	3-day	45	    Chips  
Sydney	291	3-day	NA	    Doritos
Sydney	292	3-day	59	    Doritos
Sydney	293	3-day	32	    Cashews
Sydney	294	3-day	91	    Doritos
Sydney	295	3-day	54	    Cashews
Sydney	296	3-day	70	    Chips  
Sydney	297	3-day	77	    Cashews
