site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Tel_Aviv  298  1  1  1  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  2  Devalued  pre  1-day  4.086991e+00  2.156860e-01  3  82  5  5
Tel_Aviv  298  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  4  Devalued  pre  1-day  5.020324e+00  1.435133e-01  2  101  5  5
Tel_Aviv  298  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  6  Devalued  pre  1-day  5.194676e+00  1.070436e-01  2  208  5  5
Tel_Aviv  298  1  1  7  Valued  pre  1-day  4.833186e+00  2.150760e-01  2  97  5  5
Tel_Aviv  298  1  1  8  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  9  Valued  pre  1-day  5.994346e+00  6.498855e-02  0  120  5  5
Tel_Aviv  298  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  11  Valued  pre  1-day  5.671273e+00  1.088694e-01  3  227  5  5
Tel_Aviv  298  1  1  12  Devalued  pre  1-day  4.933841e+00  1.753855e-01  2  99  5  5
Tel_Aviv  298  1  1  13  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  14  Devalued  pre  1-day  5.198908e+00  1.683526e-01  3  104  5  5
Tel_Aviv  298  1  1  15  Valued  pre  1-day  5.183240e+00  1.637019e-01  3  104  5  5
Tel_Aviv  298  1  1  16  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  17  Valued  pre  1-day  5.015245e+00  1.671207e-01  7  206  5  5
Tel_Aviv  298  1  1  18  Rest  pre  1-day  0  0  0  0  NaN  5
Tel_Aviv  298  1  1  19  Devalued  pre  1-day  5.263176e+00  1.545878e-01  5  211  5  5
Tel_Aviv  298  1  1  20  Valued  pre  1-day  5.358732e+00  9.732441e-02  0  107  5  5
Tel_Aviv  298  1  2  1  Devalued  pre  1-day  3.732908e+00  1.987496e-01  1  74  5  5
Tel_Aviv  298  1  2  2  Rest  pre  1-day  0  0  0  0  NaN  5
