site	ID	Group	FoodConsumption_grams	FoodLabel
TelAviv	298	1-day	14	    Tapuchips
TelAviv	299	1-day	40	    Doritos  
TelAviv	300	1-day	43	    Tapuchips
TelAviv	301	1-day	78	    Cashews  
TelAviv	302	1-day	8	    Cashews  
TelAviv	303	1-day	27	    Tapuchips
TelAviv	304	1-day	13	    Tapuchips
TelAviv	305	1-day	1	    Tapuchips
TelAviv	306	1-day	11	    Tapuchips
TelAviv	307	1-day	28	    Tapuchips
TelAviv	308	1-day	52	    Tapuchips
TelAviv	309	1-day	16	    Doritos  
TelAviv	310	1-day	18	    Tapuchips
TelAviv	311	1-day	94	    Tapuchips
TelAviv	312	1-day	95	    Cashews  
TelAviv	313	1-day	12	    Tapuchips
TelAviv	314	1-day	111	    Tapuchips
TelAviv	315	1-day	1	    Cashews  
TelAviv	316	1-day	85	    Doritos  
TelAviv	317	1-day	4	    Tapuchips
TelAviv	318	1-day	7	    Cashews  
TelAviv	319	1-day	41	    Cashews  
TelAviv	320	1-day	103	    Doritos  
TelAviv	321	1-day	30	    Doritos  
TelAviv	322	1-day	101	    Tapuchips
TelAviv	323	1-day	55	    Doritos  
TelAviv	324	1-day	50	    Tapuchips
TelAviv	325	1-day	74	    Doritos  
TelAviv	326	1-day	42	    Cashews  
TelAviv	327	1-day	45	    Tapuchips
TelAviv	328	1-day	33	    Tapuchips
TelAviv	329	1-day	190	    Cashews  
TelAviv	330	1-day	27	    Doritos  
TelAviv	331	1-day	132	    Tapuchips
TelAviv	332	1-day	13	    Doritos  
TelAviv	333	1-day	24	    Doritos  
TelAviv	334	3-day	107	    Doritos  
TelAviv	335	3-day	134	    Cashews  
TelAviv	336	3-day	12	    Tapuchips
TelAviv	337	3-day	37	    Tapuchips
TelAviv	338	3-day	30	    Tapuchips
TelAviv	339	3-day	15	    Doritos  
TelAviv	340	3-day	24	    Cashews  
TelAviv	341	3-day	19	    Tapuchips
TelAviv	342	3-day	128	    Tapuchips
TelAviv	343	3-day	12	    Doritos  
TelAviv	344	3-day	13	    Tapuchips
TelAviv	345	3-day	5	    Tapuchips
TelAviv	346	3-day	110	    Cashews  
TelAviv	347	3-day	12	    Doritos  
TelAviv	348	3-day	83	    Tapuchips
TelAviv	349	3-day	2	    Tapuchips
TelAviv	350	3-day	71	    Tapuchips
TelAviv	351	3-day	13	    Tapuchips
TelAviv	352	3-day	56	    Cashews  
TelAviv	353	3-day	14	    Cashews  
TelAviv	354	3-day	106	    Cashews  
TelAviv	355	3-day	105	    Tapuchips
TelAviv	356	3-day	20	    Tapuchips
TelAviv	357	3-day	2	    Doritos  
TelAviv	358	3-day	24	    Doritos  
TelAviv	359	3-day	59	    Doritos  
TelAviv	360	3-day	21	    Tapuchips
TelAviv	361	3-day	9	    Tapuchips
TelAviv	362	3-day	36	    Tapuchips
TelAviv	363	3-day	23	    Doritos  
TelAviv	364	3-day	19	    Tapuchips
TelAviv	365	3-day	34	    Doritos  
TelAviv	366	3-day	91	    Cashews  
TelAviv	367	3-day	44	    Tapuchips
TelAviv	368	3-day	43	    Cashews  
