ID	group	cue	block	prepost	PressFreq
1	1-day	dev	block0	pre	4.029166667
1	1-day	dev	block1	post	0.1
1	1-day	dev	block2	post	0
1	1-day	dev	block3	post	0
1	1-day	val	block0	pre	4.454166667
1	1-day	val	block1	post	1.95
1	1-day	val	block2	post	4.05
1	1-day	val	block3	post	3.85
2	1-day	dev	block0	pre	3.691666667
2	1-day	dev	block1	post	0.05
2	1-day	dev	block2	post	3.15
2	1-day	dev	block3	post	2.2
2	1-day	val	block0	pre	3.429166667
2	1-day	val	block1	post	2.75
2	1-day	val	block2	post	2.7
2	1-day	val	block3	post	3.4
3	1-day	dev	block0	pre	3.2125
3	1-day	dev	block1	post	0.2
3	1-day	dev	block2	post	0.2
3	1-day	dev	block3	post	0.1
3	1-day	val	block0	pre	3.55
3	1-day	val	block1	post	3.6
3	1-day	val	block2	post	3.4
3	1-day	val	block3	post	3
4	3-day	dev	block0	pre	0.125
4	3-day	dev	block1	post	0
4	3-day	dev	block2	post	0
4	3-day	dev	block3	post	0
4	3-day	val	block0	pre	0.108333333
4	3-day	val	block1	post	0.4
4	3-day	val	block2	post	0
4	3-day	val	block3	post	0
5	3-day	dev	block0	pre	2.491666667
5	3-day	dev	block1	post	1.55
5	3-day	dev	block2	post	2
5	3-day	dev	block3	post	2.35
5	3-day	val	block0	pre	2.816666667
5	3-day	val	block1	post	2.25
5	3-day	val	block2	post	2.4
5	3-day	val	block3	post	2.1
6	3-day	dev	block0	pre	4.0875
6	3-day	dev	block1	post	0
6	3-day	dev	block2	post	0
6	3-day	dev	block3	post	0
6	3-day	val	block0	pre	4.220833333
6	3-day	val	block1	post	0.5
6	3-day	val	block2	post	0.45
6	3-day	val	block3	post	0.25
7	3-day	dev	block0	pre	3.608333333
7	3-day	dev	block1	post	3.95
7	3-day	dev	block2	post	3.95
7	3-day	dev	block3	post	3.75
7	3-day	val	block0	pre	3.4875
7	3-day	val	block1	post	3.95
7	3-day	val	block2	post	4.05
7	3-day	val	block3	post	3.8
8	3-day	dev	block0	pre	0.033333333
8	3-day	dev	block1	post	0
8	3-day	dev	block2	post	2.6
8	3-day	dev	block3	post	3.65
8	3-day	val	block0	pre	3.791666667
8	3-day	val	block1	post	3.6
8	3-day	val	block2	post	3.85
8	3-day	val	block3	post	3.65
9	3-day	dev	block0	pre	0.929166667
9	3-day	dev	block1	post	1.1
9	3-day	dev	block2	post	1.15
9	3-day	dev	block3	post	1
9	3-day	val	block0	pre	0.958333333
9	3-day	val	block1	post	1.05
9	3-day	val	block2	post	1.1
9	3-day	val	block3	post	1.05
10	3-day	dev	block0	pre	3.670833333
10	3-day	dev	block1	post	3.9
10	3-day	dev	block2	post	4.15
10	3-day	dev	block3	post	5.05
10	3-day	val	block0	pre	2.591666667
10	3-day	val	block1	post	5.3
10	3-day	val	block2	post	5.45
10	3-day	val	block3	post	5.05
11	3-day	dev	block0	pre	4.908333333
11	3-day	dev	block1	post	5.25
11	3-day	dev	block2	post	5.4
11	3-day	dev	block3	post	5.55
11	3-day	val	block0	pre	4.766666667
11	3-day	val	block1	post	5.2
11	3-day	val	block2	post	4.65
11	3-day	val	block3	post	4.7
12	3-day	dev	block0	pre	0.258333333
12	3-day	dev	block1	post	0.25
12	3-day	dev	block2	post	0.2
12	3-day	dev	block3	post	0.35
12	3-day	val	block0	pre	0.2625
12	3-day	val	block1	post	0.4
12	3-day	val	block2	post	0.15
12	3-day	val	block3	post	0.8
13	3-day	dev	block0	pre	0.225
13	3-day	dev	block1	post	0.35
13	3-day	dev	block2	post	0.35
13	3-day	dev	block3	post	0.3
13	3-day	val	block0	pre	0.191666667
13	3-day	val	block1	post	0.2
13	3-day	val	block2	post	0.15
13	3-day	val	block3	post	0.2
14	1-day	dev	block0	pre	4.1
14	1-day	dev	block1	post	0
14	1-day	dev	block2	post	0
14	1-day	dev	block3	post	0
14	1-day	val	block0	pre	4.075
14	1-day	val	block1	post	4.05
14	1-day	val	block2	post	4.5
14	1-day	val	block3	post	4.5
15	3-day	dev	block0	pre	3.854166667
15	3-day	dev	block1	post	3.55
15	3-day	dev	block2	post	3.4
15	3-day	dev	block3	post	3.7
15	3-day	val	block0	pre	3.725
15	3-day	val	block1	post	3.7
15	3-day	val	block2	post	3.45
15	3-day	val	block3	post	3.6
16	1-day	dev	block0	pre	1.579166667
16	1-day	dev	block1	post	0.75
16	1-day	dev	block2	post	0.75
16	1-day	dev	block3	post	0.75
16	1-day	val	block0	pre	1.608333333
16	1-day	val	block1	post	0.9
16	1-day	val	block2	post	0.65
16	1-day	val	block3	post	0.75
17	1-day	dev	block0	pre	3.241666667
17	1-day	dev	block1	post	2.5
17	1-day	dev	block2	post	1.45
17	1-day	dev	block3	post	2.55
17	1-day	val	block0	pre	3.541666667
17	1-day	val	block1	post	4.25
17	1-day	val	block2	post	1.45
17	1-day	val	block3	post	2.05
18	1-day	dev	block0	pre	0.316666667
18	1-day	dev	block1	post	0
18	1-day	dev	block2	post	0
18	1-day	dev	block3	post	0
18	1-day	val	block0	pre	0.479166667
18	1-day	val	block1	post	4.3
18	1-day	val	block2	post	4.4
18	1-day	val	block3	post	4.05
19	1-day	dev	block0	pre	0.1625
19	1-day	dev	block1	post	0.05
19	1-day	dev	block2	post	0
19	1-day	dev	block3	post	0.05
19	1-day	val	block0	pre	0.495833333
19	1-day	val	block1	post	0.15
19	1-day	val	block2	post	0.5
19	1-day	val	block3	post	0.3
20	1-day	dev	block0	pre	1.483333333
20	1-day	dev	block1	post	1.25
20	1-day	dev	block2	post	1.3
20	1-day	dev	block3	post	1.45
20	1-day	val	block0	pre	1.491666667
20	1-day	val	block1	post	1.4
20	1-day	val	block2	post	1.45
20	1-day	val	block3	post	1.45
21	1-day	dev	block0	pre	0.570833333
21	1-day	dev	block1	post	0
21	1-day	dev	block2	post	1.5
21	1-day	dev	block3	post	0
21	1-day	val	block0	pre	2.625
21	1-day	val	block1	post	4.35
21	1-day	val	block2	post	4.65
21	1-day	val	block3	post	4.5
22	1-day	dev	block0	pre	2.4875
22	1-day	dev	block1	post	2.2
22	1-day	dev	block2	post	1.7
22	1-day	dev	block3	post	2.75
22	1-day	val	block0	pre	2.008333333
22	1-day	val	block1	post	3.05
22	1-day	val	block2	post	2.6
22	1-day	val	block3	post	3.15
23	1-day	dev	block0	pre	0.195833333
23	1-day	dev	block1	post	0
23	1-day	dev	block2	post	0
23	1-day	dev	block3	post	0
23	1-day	val	block0	pre	4.466666667
23	1-day	val	block1	post	0
23	1-day	val	block2	post	4.3
23	1-day	val	block3	post	4.65
24	1-day	dev	block0	pre	0.883333333
24	1-day	dev	block1	post	1
24	1-day	dev	block2	post	1.25
24	1-day	dev	block3	post	0.35
24	1-day	val	block0	pre	0.55
24	1-day	val	block1	post	1.05
24	1-day	val	block2	post	1.8
24	1-day	val	block3	post	2.5
25	1-day	dev	block0	pre	4.466666667
25	1-day	dev	block1	post	3.65
25	1-day	dev	block2	post	2.25
25	1-day	dev	block3	post	3.4
25	1-day	val	block0	pre	4.45
25	1-day	val	block1	post	5.1
25	1-day	val	block2	post	4.8
25	1-day	val	block3	post	4.65
26	1-day	dev	block0	pre	4.208333333
26	1-day	dev	block1	post	3.5
26	1-day	dev	block2	post	3.2
26	1-day	dev	block3	post	3.65
26	1-day	val	block0	pre	4.445833333
26	1-day	val	block1	post	4.5
26	1-day	val	block2	post	3.6
26	1-day	val	block3	post	4.1
27	1-day	dev	block0	pre	4.15
27	1-day	dev	block1	post	3.85
27	1-day	dev	block2	post	2.95
27	1-day	dev	block3	post	1.15
27	1-day	val	block0	pre	4.333333333
27	1-day	val	block1	post	4.75
27	1-day	val	block2	post	3.9
27	1-day	val	block3	post	3.9
28	3-day	dev	block0	pre	1.3125
28	3-day	dev	block1	post	0
28	3-day	dev	block2	post	0
28	3-day	dev	block3	post	0
28	3-day	val	block0	pre	0.608333333
28	3-day	val	block1	post	2.35
28	3-day	val	block2	post	3.45
28	3-day	val	block3	post	3.35
29	3-day	dev	block0	pre	1.3125
29	3-day	dev	block1	post	1.9
29	3-day	dev	block2	post	3.95
29	3-day	dev	block3	post	4.25
29	3-day	val	block0	pre	0.608333333
29	3-day	val	block1	post	4.1
29	3-day	val	block2	post	4.4
29	3-day	val	block3	post	3.95
30	3-day	dev	block0	pre	1.9875
30	3-day	dev	block1	post	0
30	3-day	dev	block2	post	3.3
30	3-day	dev	block3	post	4
30	3-day	val	block0	pre	1.975
30	3-day	val	block1	post	2.5
30	3-day	val	block2	post	3.65
30	3-day	val	block3	post	4.2
31	3-day	dev	block0	pre	2.5375
31	3-day	dev	block1	post	3.95
31	3-day	dev	block2	post	1.05
31	3-day	dev	block3	post	5.7
31	3-day	val	block0	pre	2.670833333
